Weighted_Avg_PRB_Util_UL,DL MAC Vol Scell Pct,UE_Pwr_Restricted_Pct,UE_Pwr_Unrestricted_Pct_Num,Cat M1 Bearer Setup Failure num,Bearer Setup Failure Voice Num,HARQ_BLER_Pct,Avg_Connected_UEs,SIP DC%,UPTP_Mbps,Context_Drop_Pct,Context_Setup_Failure_Pct_Num,DL_HARQ_DTX_PCT_NUM,S1U_SIP_SC_SEER,DRB UL Data Volume MB,CAActivatedUE with 4 Scell DL num,Cat M1 Bearer Drop num,UL_Packet_Loss_Pct_Den,HO Failures,Weighted_Avg_Pdcch_CCE_Util_Num,CAActivatedUE with 3 Scell DL num,Weighted_Avg_SINR_PUSCH,Avg noOf Scell for CA UE den,PRB Util%,Handover_Exe_Failure_Pct,Pct CA ScheduledUE with 3 Scell UL,Interference_92_dbm_Above,HQ_EXE_TOTARGET_FAILURE_QCI_1,Pct CA ScheduledUE with 2 Scell UL,CAActivatedUE with 2 Scell DL num,DL Packet Loss Pct,RI_2Pct_den,Pct CA ScheduledUE with 1 Scell UL,Bearer Drop Voice%,CAActivatedUE with 1 Scell DL num,Bearer Drops,CAActivatedUE with 0 Scell DL num,RRC Setup Attempts,SIP Calls with a Leg,TTI_Occupancy_Pct_Den,weekend,Downlink_Scheduler_Delay_msec,HARQ_BLER_Pct_Num,UPTP Mbps Num,Cat M1 Bearer Setup Failure den,Bearer Setup Failure Voice Den,Setup_Fail_NUM,Weighted_Avg_PRB_Util_UL_Num,DL MAC Vol EScell Pct,UE_Pwr_Restricted_Pct_Num,pmCellDowntimeLockAuto,Handover_Preparation_Failure_PCT,S1U_SIP_SC_SEER_num,Context_Setup_Failure_Pct_Den,Cat_M1 Bearer Drop den,DL_HARQ_DTX_PCT_DEN,RRC_Reest_Fail_Pct,Context_Drop_Pct_Num,pmRadioRecInterferencePwr_Neg121,ERAB_Drop_Pct_Num,RRC Setup Failures,Handover_Exe_Failure_Pct_Num,hr,Weighted_Avg_Pdcch_CCE_Util_Den,PUCCH Interference Pwr,Bearer Setup Failure Voice%,MAC_UE_SC_Tput,UL_HARQ_DTX_PCT,HQ_EXE_TOTARGET_FAILURE_QCI_1_NUM,Bearer Releases,HO_fail_InterFreq,Bearer_Setup_Failure_Pct,UL_HARQ_ACK_PCT,HO_Oscillation_IntraFreq_PCT,Combined RACH Failure%,UE_Pwr_Pct_den,RRC_Reestab_Attempts,CA ActivatedUE pct Den,UL_RLC_ACK_PCT,HO_fail_PCT_InterFreq,Interference Pwr,qci1_setup_attempts,Avg CQI,Downlink_Scheduler_Delay_msec_Num,HARQ_BLER_Pct_Den,UPTP Mbps Den,Setup_Fail_DEN,Weighted_Avg_PRB_Util_UL_Den,PDCCH Util,SIP_SC_Total_MOU,SIP Dropped Calls,UL MAC Vol Scell Pct,S1U_SIP_SC_SEER_den,RRC_Reest_Fail_Pct_Num,Uplink_TTI_Occupancy_Pct,_80th_percentile_traffic,Context_Drop_Pct_Den,ENDC Setup Failure,QCI 1 Bearer Drop%,ENDC Setup Failure Pct,ERAB_Drop_Pct_Den,QCI5 Bearer Setup Failure Num,Handover_Exe_Failure_Pct_Den,Peak UE,Weighted_Avg_PRB_Util_DL,VOLTE IA%,Cell Availablity%,ENDC Setup Attempt,MB_per_connected_UE,PCT Time MIMO,ERAB Setup Fail%,DL Volume,WEIGHT_AVG_SINR_PUCCH,HQ_EXE_TOTARGET_FAILURE_QCI_1_DEN,UL_HARQ_DTX_PCT_NUM,Return Loss,Combined_RACH_Succ,Bearer_Setup_Failure_Pct_Num,QCI 1 Bearer Releases,Pct CA ScheduledUE with 4 Scell DL,UL Throughput,Pct CA ScheduledUE with 3 Scell DL,PIM,DL Data Vol MAC in MB,UL_Packet_Loss_Pct,Pct CA ScheduledUE with 0 EScell DL,HO Failure%,Access Beyond Cell Range,Pct CA ScheduledUE with 2 Scell DL,Downlink_Scheduler_Delay_msec_Den,Call_Drops_Credit,Pct CA ScheduledUE with 1 EScell DL,Uplink_TTI_Occupancy_Pct_Num,Combined RACH Preambles,TIMESTAMP,Avg noOf Scell for CA UE,DL MAC Vol Scell MB,Pct CA ScheduledUE with 1 Scell DL,Pct CA ScheduledUE with 2 EScell DL,Downlink_TTI_Occupancy_Pct,RI_2Pct,Bearer Drop%,pct CA ActivatedUE with 4 Scell DL,Pct CA ScheduledUE with 3 EScell DL,Bearer Drops Voice,QCI5 Bearer Setup Failure Den,Weighted_Avg_PRB_Util_DL_Num,holiday,Pct CA ScheduledUE with 4 EScell DL,pct CA ActivatedUE with 3 Scell DL,RadioInterferenceSecsAbvNeg100dBm,VoLTE_MOU,UL QPSK BLER Pct,pct CA ActivatedUE with 2 Scell DL,UE_Pwr_Unrestricted_Pct,UL_HARQ_DTX_PCT_DEN,Bearer_Setup_Failure_Pct_Den,Combined RACH Failures,Context_Setup_Failure_Pct,pct CA ActivatedUE with 1 Scell DL,DL_HARQ_DTX_PCT,QCI5 Bearer Setup Failure%,RRC Setup Failure% 5G,pct CA ActivatedUE with 0 Scell DL,UL_Packet_Loss_Pct_Num,Cat M1 Bearer Setup Failure pct,Avg noOf Scell for CA UE num,day,Weighted_Avg_Pdcch_CCE_Util,Cat M1 Bearer Drop pct,QCI 1 Bearer Drops,SIP_SC_Call_Attempts,Handover_Preparation_Att,pmCellDowntimeAuto,Downlink_TTI_Occupancy_Pct_Num,Bearer Releases Voice,RI_2Pct_num,HO_att_InterFreq,Weighted_Avg_PRB_Util_DL_Den,Handover_Prep_Failures,HO Attempts
5,73.59,52.67,30430,0,0,4.19,3.6,null,31.58,0.19,0,6973,100,7.99,4106,0,39447,0,12363600,6952,16.97,1019,5.5,0,null,42,0,null,4331,0.02,49064,null,0,6458,2,31205,542,null,4,0,864.34,5786,386995,0,3,0,300,0,33867,0,0,5,549,0,140999,12.5,1,0,2,0,0,0,3600002,-117.65,0,11227.79,5.65,0,903,0,0,94.1,15.15,9.99,65297,8,53481.52,98.3169,null,-117.97,3,9.94,195775.37,139326.47,12374.52,2030.1,60,3.91,5,null,0,5,1,0,null,532.27,0,0,0,901.93,0,66.66,9,5.5,0,100,11,14.12,62.5897,0,60.6,2.98,1,3899,24.5,655.49,0,5,1.97,0.6,0.34,0.1,182.204,0.02,null,0,0.16,1.33,22650.26,0,null,0,728.21,1.69E+12,2.54,137.2994,0.27,null,0,59.1961,0.22,7.75,null,0,377.74,330,0,null,13.2613,3.58,7.43,8.71,8.18,47.33,69729.39,935.26,72,0,12.01,4.95,0,0,58.93,8,null,2586,09-01-2023,3.43,null,0,11.84,66,0,0,5,29042.55,0,60,0,66
5,51.13,39.87,27416,0,0,5.27,3.55,null,25.38,0,0,4596,100,5.4,2905,0,26707,0,11797290,8517,17.8,1033,5,0,null,3,0,null,7808,0.04,37114,null,0,4444,1,20066,513,null,4,0,944.79,3472,320680,0,8,0,300,0,18176,0,0,10,520,0,66934,33.33,0,0,1,0,0,1,3600002,-117.76,0,7028.79,4.29,0,861,0,0,96.21,15.38,0.82,46592,3,44076.4,98.9406,null,-118.72,8,9.84,149519.39,66544.86,12758.32,1910.92,60,3.13,10,null,0,10,1,0,null,515.1,0,0,0,859.51,0,39.39,8,5,0,100,2,14.74,63.0644,0,54.54,2.98,3,2010,24.5,611.05,0,9,1.41,0.26,0.13,0.1,56.6711,0.03,null,0,0,2.01,15825.69,0,null,0,616.1,1.69E+12,2.33,29.6738,0.17,null,0,58.8628,0.12,6.66,null,0,346.43,300,0,null,19.7152,0.34,3.08,4.3,17.89,60.13,47366.98,874.66,5,0,9.95,6.87,0,0,45.98,7,null,2411,09-01-2023,3.28,null,0,1.47,39,0,0,9,21846.3,0,60,0,39
5,73.76,37.9,44437,0,0,2.5,4.23,null,12.33,0,0,10728,100,9.38,6445,0,57038,0,12488165,29635,18.12,1518,6.17,0,null,1,0,null,1695,0.01,56120,null,0,8993,0,50315,546,null,4,0,449.59,4074,352669,0,4,0,300,0,27122,0,0,5,556,0,190914,16.67,0,null,0,0,0,2,3600002,-117.99,0,14737.59,4.69,0,932,0,0,96.13,9.09,1.08,72559,6,97952.83,98.7822,null,-118.9,4,9.86,166143.99,164770.39,28876.91,2048.28,60,4.23,5,null,0,5,1,0,null,546.41,0,0,0,931.22,0,44.44,8,6.17,0,100,6,26.68,67.771,0,94.94,2.98,0,3477,24.5,646.4,0,5,0.97,1.13,0.12,0.1,338.8247,0.02,null,0,0,1.73,36954.89,0,null,0,653.47,1.69E+12,2.39,255.9138,0.08,null,0,62.418,0,6.65,null,0,373.7,370,0,null,30.8656,0.22,1,4.87,1.75,62.1,74950.08,945.36,7,0,9.17,5.62,0,0,51.88,13,null,3630,09-01-2023,3.47,null,0,0.35,44,0,0,5,35026.8,0,60,0,44
5,86.89,40.12,31247,0,0,3.06,3.62,null,33.2,0.18,0,8097,100,10.65,2285,0,41628,0,11787028,3192,17.92,1038,5.17,0,null,5,0,null,5425,0.02,45035,null,0,3797,1,32903,582,null,4,0,901.89,3121,248298,0,6,0,300,0,20937,0,0,6,588,0,125511,50,1,0,1,0,0,3,3600001,-118.16,0,16916.92,4.01,0,965,0,0,96.53,8,2.94,53184,2,47977.02,98.8614,null,-116.97,6,10.97,172006.03,103072.52,7549.75,2187.66,60,3.63,6,null,0,6,1,0,null,567.62,0,0,0,964.55,0,50.5,8,5.17,0,100,2,5.72,58.2366,0,46.46,2.98,3,2206,24.5,666.6,0,7,2.53,3.35,0.16,0.1,255.7421,0.02,null,0,0.16,2.24,19071.83,0,null,0,686.8,1.69E+12,2.23,227.5429,0.78,null,0,51.3484,0.1,4.81,null,0,424.2,310,0,null,6.7872,13.73,3.67,3.96,11.42,59.88,55545.96,1012.02,20,0,7.78,6.45,0,0,69.27,10,null,2316,09-01-2023,3.27,null,0,18.39,50,0,0,7,23122.94,0,60,0,50
5,77.44,40.02,37863,0,0,3.82,4.15,null,25.1,0,0,8608,100,16.15,2032,0,49223,0,11877120,1859,18.31,1374,5,0,null,20,0,null,11881,0.01,45098,null,0,3531,0,47168,579,null,4,0,860.44,3720,478210,0,7,0,300,0,25258,0,0,8,587,0,156038,25,0,0,0,0,0,4,3600002,-118.09,0,22486.02,4.15,0,965,0,0,96.08,8.51,0.3,64121,4,67034.71,98.9406,null,-118.61,7,10.72,207675.19,98241.69,19241.51,2170.49,60,3.97,8,null,0,8,1,0,null,571.66,0,0,0,964.55,0,47.47,9,5,0,100,2,7.2,63.6401,0,113.12,2.98,1,2531,24.5,665.59,0,7,1.67,4.75,0.17,0.1,422.5436,0.01,null,0,0,4.07,24135.97,0,null,0,667.61,1.69E+12,2.2,335.0675,0.44,null,0,49.2476,0,3.06,null,0,411.07,300,0,null,2.828,0.94,1.65,3.18,17.9,59.98,61619.09,1000.91,2,0,5.17,5.52,0,0,71.07,7,null,3027,09-01-2023,3.3,null,0,0,47,0,0,7,22210.91,0,60,0,47
5,62.81,43.65,35131,0,0,6.04,4.17,null,61.96,0,0,15389,100,7.32,6827,0,34753,0,11968025,8708,17.81,1435,5.33,0,null,6,0,null,5605,0.02,47811,null,0,8355,0,37701,741,null,4,0,618.01,11079,1142932,0,6,0,300,0,27209,0,0,4,745,0,229674,0,0,0,0,0,0,5,3600002,-118.08,0,22183.98,4.44,0,1276,0,0,95.63,9.46,4.78,63340,9,67766.96,98.8713,null,-118.62,6,11.11,104077.47,185227.94,18629.45,2838.1,60,4.02,4,null,0,4,0,0,null,719.12,0,0,0,1278.66,0,74.74,11,5.33,0,100,10,22.07,82.9513,0,195.94,2.98,4,2884,24.5,884.76,0,5,2.42,0.96,0.14,0.1,414.807,0.01,null,0,0.12,1.06,16840.74,0,null,0,929.2,1.69E+12,2.63,266.7915,0.62,null,0,76.3964,0,10.17,null,0,585.8,320,0,null,13.1098,1.75,2,4.98,8.35,56.35,65565.16,1341.28,44,0,12.3,6.7,0,0,56.19,2,null,3772,09-01-2023,3.32,null,0,0,74,0,0,5,36524.63,0,60,0,74
5,46.46,55.39,139599,0,0,7.25,6.76,null,30.65,0,0,54833,100,34.5,12116,0,228160,2,14627310,75766,16.6,3071,8.33,1.04,null,13,0,null,16698,0,108488,null,0,110768,0,181302,988,null,4,0,661.2,53280,4468055,0,5,2,300,0,173313,0,0,8,993,0,862447,4.35,0,0,0,2,2,6,3600002,-116.88,0,18070.05,7.84,0,1807,0,0,91.28,9.33,7.02,313912,23,400515.5,93.1986,null,-116.75,5,9.96,751265.27,742169.21,147224.67,3843.05,60,8.87,8,null,0,8,1,0,null,980.71,1,0,11.11,1814.97,0,194.93,12,8.33,0.2,100,9,27.3,79.184,0.05,800.93,2.99,33,25570,24.5,1351.38,0,8,0.65,0.23,0.13,0.1,1199.8901,1.21,null,1.04,0.08,0.23,113620.96,0,null,0,1453.39,1.69E+12,2.67,570.852,0.33,null,0,71.4575,0,3.06,null,0,816.08,500,0,null,19.3011,11.26,14.68,11.77,4.21,44.61,329220.61,1849.31,101,0,27.91,6.36,0,0.2,45.72,2763,null,8198,09-01-2023,4.06,null,0,22.12,193,0,0,8,77518.51,0,60,0,193
5.5,55.51,52.9,243107,0,0,6.06,10.78,null,30.16,0.39,0,65975,100,86.83,40592,0,360118,1,16592895,105686,16.82,5630,9.67,0.21,null,48,0,null,45285,0.14,205261,null,0,61020,6,296946,1578,null,4,0,602.23,71652,3545057,0,20,3,330,0,272997,0,0,25,1576,0,1308843,4.88,6,0,6,2,1,7,3600002,-115.53,0,13986.91,4.06,0,3014,0,0.03,93.61,11.51,5.69,517104,41,554923.29,98.2674,0,-116.15,20,9.8,1216678.32,1194379.54,118695.2,6314.52,60,12.41,25,null,0,25,2,0,null,1555.4,1,0,1.69,3034.04,0,482.78,21,9.67,0.13,100,59,42.89,74.4067,0.05,823.15,2.98,55,22260,24.5,2327.04,1,22,1.11,1,0.18,0.1,1456.5816,0.01,null,0.21,0.21,0.56,202030.3,0,null,0,2467.43,1.69E+12,2.84,827.9576,0.22,null,0,68.0437,0.2,7.39,null,0,1431.17,580,0,null,19.4324,9.86,42.28,9.2,8.24,47.1,554110.24,3128.98,139,0,11.09,5.04,0,0.13,54.05,39,null,16014,09-01-2023,4.61,null,0,35.44,478,0,0,22,139665.83,2,60,0,478
5,41.64,43.75,268253,0,0,7.64,11.82,null,23.73,0.18,1,72464,100,87.63,70350,0,421278,2,17931323,120487,17.75,6358,12.17,0.38,null,115,0,null,46839,0.02,225969,null,0,94646,6,344485,1678,null,4,0,724.51,100269,6584835,0,16,3,300,0,208681,0,0,29,1658,0,1443551,7.55,3,0,6,0,2,8,3600001,-115.49,0,14846.27,4.24,0,3108,0,0.09,94.21,12.62,9.15,477934,53,683474.07,98.4159,0,-116.02,16,9.85,1370568.99,1325778.52,280291.16,6635.7,60,12.81,29,null,0,29,4,0,null,1645.29,0,0,0,3128.98,1,528.23,22,12.17,0.07,100,19,71.53,80.2849,0.05,1201.9,2.98,73,20974,24.5,2365.42,3,23,0.82,0.76,0.2,0.1,1728.0191,0.06,null,0.38,0.34,0.45,189170.98,0,null,0,2603.78,1.69E+12,2.59,736.7344,0.19,null,25,75.4571,0.19,10.4,null,0,1495.81,730,0,null,17.978,7.49,37.25,8.79,6.92,56.25,499966.16,3246.14,236,0.06,13.97,5.02,0.07,0,50.91,259,null,16448,09-01-2023,4.98,null,0,108.53,523,0,1,23,170520.32,3,60,0,523
5,53.22,43.95,258421,0,0,7.35,10.99,null,31.99,0.4,1,74705,100,104.78,46274,0,424975,6,17847510,90045,17.27,5317,10.67,1.21,null,564,1.89,null,106813,0.02,199142,null,0,78550,12,306361,1571,null,4,0,872.72,90295,6906558,0,19,5,300,0,202603,0,0,21,1548,0,1387472,17.39,6,1.89,12,3,6,9,3600002,-114.4,0,15411.13,3.67,1,2876,0,0.07,94.32,14.17,10.33,462024,46,634222.43,98.6139,0,-114.86,19,9.11,1711081.4,1240910.24,218054.96,6195.34,60,12.89,21,null,0,21,8,0,null,1530.15,0,0,0,2894.66,1,498.94,21,10.67,0.26,100,21,36.96,75.7904,0.08,1122.11,2.98,53,16690,24.5,2349.26,2,19,0.82,0.73,0.14,0.1,1721.2016,0.02,null,1.21,0.14,0.33,196062.21,0,null,0,2619.94,1.69E+12,2.79,938.0577,0.24,null,25,67.6599,0.42,7.37,null,0,1388.75,640,0,null,14.4834,11.98,52.5,7.64,17.01,56.05,459938.85,3024.95,268,0.07,12.49,5.38,0.07,0.19,48.79,99,null,14808,09-01-2023,4.96,null,0,39.25,494,0,1,19,134737.03,3,60,0,494
